Name,Category,Tags,URL
UDT9,Unit,"Commando,US,naval commandos,UDT",http://www.viewoftherockies.com/UDT9.html
UDT10,Unit,"Commando,US,naval commandos,UDT",http://www.viewoftherockies.com/UDT10.html
UDT11,Unit,"US,naval commandos,UDT",http://www.viewoftherockies.com/UDT11.html
UDT12,Unit,"US,naval commandos,UDT",http://www.viewoftherockies.com/UDT12.html
UDT13,Unit,"US,naval commandos,UDT",http://www.viewoftherockies.com/UDT13.html
UDT14,Unit,"US,naval commandos,UDT",http://www.viewoftherockies.com/UDT14.html
UDT15,Unit,"US,naval commandos,UDT",http://www.viewoftherockies.com/UDT15.html
UDT16,Unit,"US,naval commandos,UDT",http://www.viewoftherockies.com/UDT16.html
UDT17,Unit,"US,naval commandos,UDT",http://www.viewoftherockies.com/UDT17.html
UDT18,Unit,"US,naval commandos,UDT",http://www.viewoftherockies.com/UDT18.html
UDT19,Unit,"US,naval commandos,UDT",http://www.viewoftherockies.com/UDT19.html
UDT20,Unit,"US,naval commandos,UDT",http://www.viewoftherockies.com/UDT20.html
UDT21,Unit,"US,naval commandos,UDT",http://www.viewoftherockies.com/UDT21.html
UDT22,Unit,"US,naval commandos,UDT",http://www.viewoftherockies.com/UDT22.html
UDT23,Unit,"US,naval commandos,UDT",http://www.viewoftherockies.com/UDT23.html
UDT24,Unit,"US,naval commandos,UDT",http://www.viewoftherockies.com/UDT24.html
UDT25,Unit,"US,naval commandos,UDT",http://www.viewoftherockies.com/UDT25.html
UDT26,Unit,"US,naval commandos,UDT",http://www.viewoftherockies.com/UDT26.html
UDT27,Unit,"US,naval commandos,UDT",http://www.viewoftherockies.com/UDT27.html
UDT28,Unit,"US,naval commandos,UDT",http://www.viewoftherockies.com/UDT28.html
UDT29,Unit,"US,naval commandos,UDT",http://www.viewoftherockies.com/UDT29.html
UDT30,Unit,"US,naval commandos,UDT",http://www.viewoftherockies.com/UDT30.html
UDT,Unit,"US,naval commandos,UDT",http://www.viewoftherockies.com/Frank%20speech1.pdf
NCDU,Unit,"US,naval commandos,UDT",http://www.navyfrogmen.com/NCDU.html
UDT,Unit,"US,naval commandos,UDT",http://www.navyfrogmen.com/WWII%20UDT.html
Scouts & Raiders,Unit,"US,naval commandos,UDT",http://www.navyfrogmen.com/ScoutsandRaiders.html
British commando frogmen SBS,Unit,"Commando,SBS",https://en.wikipedia.org/wiki/British_commando_frogmen
The Origins,Unit,"naval commandos,Xa Flottiglia MAS,Italy",http://www.regiamarina.net/detail_text.asp?nid=26&lid=1
Insidious Weapons Xa Flottiglia MAS,Unit,"naval commandos,Xa Flottiglia MAS,Italy",http://www.regiamarina.net/detail_text_with_list.asp?nid=100&lid=1
Insidious Weapons Xa Flottiglia MAS,Unit,"naval commandos,Xa Flottiglia MAS,Italy",http://www.regiamarina.net/detail_text_with_list.asp?nid=100&lid=1&cid=2
Insidious Weapons Xa Flottiglia MAS,Unit,"naval commandos,Xa Flottiglia MAS,Italy",http://www.regiamarina.net/detail_text_with_list.asp?nid=100&lid=1&cid=3
502nd SS Jäger Battalion - Wikipedia,Unit,"Germany,Commando",https://en.wikipedia.org/wiki/502nd_SS_J%C3%A4ger_Battalion
Brandenburgers - Wikipedia,Unit,"Germany,Commando",https://en.wikipedia.org/wiki/Brandenburgers
Fallschirmjäger (World War II) - Wikipedia,Unit,"Germany,Commando",https://en.wikipedia.org/wiki/Fallschirmj%C3%A4ger_(World_War_II)
Marinestosstruppkompanie - Wikipedia,Unit,"Germany,Commando",https://en.wikipedia.org/wiki/Marinestosstruppkompanie
Sonder Lehrgang Oranienburg - Wikipedia,Unit,"Germany,Commando",https://en.wikipedia.org/wiki/Sonder_Lehrgang_Oranienburg
Military History Online - Popski's Private Army,Unit,"Commando,Popski",https://www.militaryhistoryonline.com/wwii/articles/popskisprivatearmy.aspx
Military History Online - Air Reconnaissance in the Second World War,Unit,"reconnaissance,Commando",https://www.militaryhistoryonline.com/wwii/articles/airrecon.aspx
Military History Online - The True Strategy of Blitzkrieg,Unit,"Germany,Military Innovations",https://www.militaryhistoryonline.com/wwii/articles/strategyofblitzkrieg.aspx
"Military History Online - Raids, Road Watches, and Reconnaissance: New Zealand's involvement in the Long Range Desert Group in North Africa, 1940-1943",Unit,"Popski,Long Range Desert Group",https://www.militaryhistoryonline.com/wwii/articles/longrange/
Military History Online - Shadow Warriors,Unit,Naval Units,https://www.militaryhistoryonline.com/wwii/articles/shadowwarriors.aspx
Texas National Guard WWII,Unit,,https://www.militaryhistoryonline.com/wwii/articles/texasnationalguard.aspx#
Waffen SS Part I,Unit,"Germany,Commando",https://www.militaryhistoryonline.com/wwii/articles/waffenss.aspx
Special Operations Executive | National Army Museum,Unit,"UK,Commando,SOE,National Army Musuem",https://www.nam.ac.uk/explore/SOE
Origins of the Special Forces | National Army Museum,Unit,"UK,Commando,National Army Musuem",https://www.nam.ac.uk/explore/special-forcesWW2
The Commandos | National Army Museum,Unit,"UK,Commando,WWII,National Army Musuem",https://www.nam.ac.uk/explore/commandos-WW2
What are the Special Forces? | National Army Museum,Unit,"UK,Commando,WWII,National Army Musuem",https://www.nam.ac.uk/explore/what-are-special-forces
Special Boat Service | National Army Museum,Unit,"UK,naval commandos,SBS,National Army Musuem",https://www.nam.ac.uk/explore/special-boat
