Name,Category,Created,Tags,URL
Layforce - Wikipedia,Unit,8/2/18 5:25,"SAS,Moshe Dayan,SBS,David Stirling,Yigal Allon",https://en.wikipedia.org/wiki/Layforce
Layforce - Wikipedia,Unit,8/2/18 5:26,"Moshe Dayan,Layforce,Yigal Allon",https://en.wikipedia.org/wiki/Layforce
Popski's Private Army,Unit,8/12/18 5:50,"British commandos,Popski,Vladimir Peniakoff,Biographical",https://www.militaryhistoryonline.com/wwii/articles/popskisprivatearmy.aspx
SAS The official website of the Special Air Service Regimental Association,Unit,8/12/18 6:04,SAS,http://www.marsandminerva.co.uk/units-represented/
"COMBINED OPS INDEX,COMBINED OPERATIONS INDEX",Unit,3/2/19 20:27,Commando,http://www.combinedops.com/Combined_Ops_Index.htm#Commandos
"No 1 COMMANDO,COMBINED OPERATIONS,",Unit,3/2/19 20:27,Commando,http://www.combinedops.com/No%201%20Commando.htm
"No. 4 COMMANDO, COMBINED OPERATIONS,",Unit,3/2/19 20:28,Commando,http://www.combinedops.com/no_4_commando.htm
"NO 5 COMMANDO, COMBINED OPERATIONS,",Unit,3/2/19 20:28,Commando,http://www.combinedops.com/No%205%20Commando.htm
"No. 9 COMMANDO, COMBINED OPERATIONS,",Unit,3/2/19 20:29,Commando,http://www.combinedops.com/No%209%20Commando.htm
"WAJNSZTEJN, Shmaryahu | Commando Veterans Archive",Hebrew,3/6/19 16:44,"UK,Commando,WWII",http://www.commandoveterans.org/ShmaryahuWajnsztejn51MECommando
"ULRICH, Itzchaz | Commando Veterans Archive",Hebrew,3/6/19 16:45,"UK,Commando,WWII",http://www.commandoveterans.org/ItzchazUlrich51MECommando
"ROSENSTEIN, Natan | Commando Veterans Archive",Hebrew,3/6/19 16:46,"UK,Commando,WWII,Commando 51",http://www.commandoveterans.org/NatanRosenstein51MECommando
"OSTERMAN, Werner | Commando Veterans Archive",Hebrew,3/6/19 16:47,"UK,Commando,WWII,Commando 51",http://www.commandoveterans.org/WernerOsterman51MECommando
"FISCHER, M. | Commando Veterans Archive",Hebrew,3/6/19 16:48,"UK,Commando,WWII,Commando 51",http://www.commandoveterans.org/Fischer51MECommando
"SHIELDS, Ronald Francis | Commando Veterans Archive",Hebrew,3/6/19 16:48,"UK,Commando,WWII,Commando 51",http://www.commandoveterans.org/RonaldShields51MECommando
"FROST, Henry Shelmerdine | Commando Veterans Archive",Hebrew,3/6/19 16:49,"UK,Commando,WWII",http://www.commandoveterans.org/HenryFrost51MECommando
"11 (SCOTTISH) COMMANDO,BLACK HACKLE,",Unit,3/2/19 20:29,,http://www.combinedops.com/Black%20Hackle.htm
"45 ROYAL MARINE COMMANDO, 45 RM COOMANDO,",Unit,3/2/19 20:30,rm commando,http://www.combinedops.com/45%20Royal%20Marine%20Commando.htm
"45 ROYAL MARINE COMMANDO,45 RM COMMANDO,",Unit,3/2/19 20:30,rm commando,http://www.combinedops.com/45%20RM%20Commando%202.htm
50/52 MIDDLE EAST  COMMANDO,Unit,3/2/19 20:31,Commando,http://www.combinedops.com/50%20(MIDDLE_EAST)_COMMANDOS.htm
52 Middle East Commando,Unit,3/2/19 20:31,Commando,http://www.combinedops.com/52%20(Middle%20East)%20Commando.htm
ROYAL NAVAL COMMANDOS,Unit,3/2/19 20:32,Commando,http://www.combinedops.com/RN%20Commando.htm
RAF SERVICING COMMANDOS,Unit,3/2/19 20:32,Commando,http://www.combinedops.com/ROYAL_AIR_SERVICING_COMMANDO.htm
ROYAL AIR SERVICING COMMANDOS UNIT 3201,Unit,3/2/19 20:34,Commando,http://www.combinedops.com/Royal_Air_Servicing_Commando_3201.htm
"GREEK SACRED SQUADRON, SACRED SQUADRON,",Unit,3/2/19 20:34,Commando,http://www.combinedops.com/SACRED_SQUADRON.htm
ASPIRANT US RANGER TO BRITISH COMMANDO!,Unit,3/2/19 20:35,Commando,http://www.combinedops.com/US%20Ranger_Commando.htm
W COMMANDO - CANADA'S BEACH COMMANDOS,Unit,3/2/19 20:35,"Commando,Canada",http://www.combinedops.com/W%20Commando.htm
"COMBINED OPS INDEX,COMBINED OPERATIONS INDEX",Unit,3/2/19 20:36,"Commando,Technologies",http://combinedops.com/Combined_Ops_Index.htm#Science%20&%20Technology
"COMBINED OPS INDEX,COMBINED OPERATIONS INDEX",Unit,3/2/19 20:37,"Commando,combined operations",http://combinedops.com/Combined_Ops_Index.htm#Background%20(What%20is%20a%20Combined%20Operation)
